StudentID,Prefix,FirstName,LastName,DateOfBirth,CurrentSchool,ContactEmail
69100001,ผู้กล้า,อาร์เธอร์,เพนดราก้อน,2005-05-05,โรงเรียนอัศวินโต๊ะกลม,arthur.p@camelot.org
69100002,จอมเวท,เมอร์ลิน,แอมโบรเซียส,1999-01-01,สถาบันเวทมนตร์ฮอกวอตส์,merlin.a@hogwarts.ac.uk
69210003,นักบิน,ลุค,สกายวอล์คเกอร์,2004-11-19,สถาบันเจไดแห่งคอรัสซังต์,l.skywalker@rebel-alliance.net
69210004,นินจา,นารูโตะ,อุซึมากิ,2006-10-10,โรงเรียนนินจาโคโนฮะ,naruto.uzumaki@konoha.jp
69320005,เชฟ,สมชาย,ไก่ย่างห้าดาว,2007-07-07,วิทยาลัยการครัวแห่งจักรวาล,somchai.5star@foodie.com
69320006,นักเดินทางข้ามเวลา,เอ็มเม็ตต์,บราวน์,1955-11-05,สถาบันฟิสิกส์กาลเวลาฮิลล์วัลเลย์,doc.brown@timetravel.gov
69430007,ทาสแมว,มะลิ,แมวครองโลก,2008-08-08,โรงเรียนฝึกสอนการรับใช้แมว,mali.meow@purrfect.net
69430008,นักสืบ,เชอร์ล็อก,โฮล์มส์,2005-01-06,โรงเรียนนักสืบเบเกอร์สตรีท,s.holmes@221b.co.uk
69540009,โปรเพลเยอร์,คิริโตะ,คิริงายะ,2008-10-07,สถาบันผู้รอดชีวิตแห่งไอน์แครด,kirito@sao.gg
69540010,ผู้เชี่ยวชาญ,นิทรา,หลับสบาย,2009-09-09,มหาวิทยาลัยเตียงนุ่ม,nitra.zzz@dreamland.io
69540011,ฮีโร่,มหาเทพระเบิด,สังหารไดนาไมท์,2011-09-17,มายฮีโรอาคาเดเมี่ย,kutjung.zzz@dreamland.io
69540012,จอมเวทย์,แฮรรี่,พอตเตอร์,2003-10-30,ฮอกวอต,harry@hogward.gg
